student_id,name,department,year,gender,cgpa,semester,attendance_percentage,company,placement_status,package_lpa,department_name,hod
S0001,Nandana Reddy,ME,1,Male,7.85,S2,64.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0002,Joel Das,CE,2,Female,7.53,S1,72.2,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0003,Adithya Das,EEE,2,Male,7.21,S8,87.7,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0004,Vishnu Das,CE,3,Male,6.38,S7,63.2,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0005,Joel Nair,CE,3,Male,8.65,S7,92.2,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0006,Diya Menon,ECE,1,Female,7.87,S3,70.1,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0007,Fathima Das,EEE,2,Male,9.34,S5,100.0,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0008,Nandana Nair,EEE,3,Female,8.35,S8,100.0,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0009,Meera Nair,EEE,2,Male,8.04,S2,87.6,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0010,Sneha Nair,CE,4,Female,7.15,S4,94.0,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0011,Meera Thomas,ME,3,Male,6.67,S2,75.9,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0012,Amal Reddy,EEE,1,Female,7.43,S5,84.9,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0013,Keerthi Menon,IT,1,Male,6.95,S5,86.0,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0014,Sanjay Menon,CE,3,Male,8.02,S6,83.8,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0015,Aiswarya Nair,ECE,1,Male,9.01,S6,75.1,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0016,Anjali Joseph,ME,3,Male,7.34,S2,84.5,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0017,Sneha Kumar,IT,4,Female,8.61,S4,82.0,EY,Placed,9.4,Information Technology,Dr. Deepa Sharma
S0018,Anu Reddy,IT,3,Male,7.3,S2,73.5,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0019,Anjali Das,ECE,2,Female,7.46,S5,80.9,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0020,Abhinav Sharma,ME,3,Male,6.9,S5,79.4,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0021,Nikhil Nair,CE,2,Male,5.79,S3,67.9,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0022,Athira Joseph,CSE,3,Male,7.92,S6,87.2,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0023,Adithya Thomas,ME,4,Male,7.65,S8,73.2,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0024,Aiswarya Varma,ECE,2,Male,8.55,S8,85.5,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0025,Sanjay Pillai,IT,4,Male,8.49,S8,93.1,,Not Placed,0.0,Information Technology,Dr. Deepa Sharma
S0026,Amal Varma,CE,4,Male,8.15,S3,99.0,,Not Placed,0.0,Civil Engineering,Dr. Anil Joseph
S0027,Midhun Nair,ME,1,Female,6.77,S1,92.5,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0028,Amal Thomas,CSE,1,Female,8.32,S8,88.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0029,Diya Varma,CSE,1,Male,9.22,S5,98.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0030,Sreeram Nair,EEE,1,Male,7.9,S3,99.1,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0031,Anu Joseph,EEE,1,Female,9.06,S2,83.4,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0032,Adithya Kumar,ECE,3,Male,9.32,S6,96.9,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0033,Anjali Pillai,ME,1,Male,7.34,S6,84.3,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0034,Meera Sharma,ME,2,Male,6.99,S4,88.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0035,Sneha Reddy,IT,4,Female,7.24,S2,66.4,,Not Placed,0.0,Information Technology,Dr. Deepa Sharma
S0036,Anu Thomas,IT,1,Female,6.64,S4,64.0,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0037,Rohan Reddy,IT,4,Male,7.44,S3,78.3,Cognizant,Placed,5.61,Information Technology,Dr. Deepa Sharma
S0038,Nikhil Varma,EEE,2,Male,8.57,S7,89.4,,Not Applicable,,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0039,Arun Joseph,ME,1,Male,5.79,S8,76.6,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0040,Midhun Pillai,ME,3,Female,6.72,S1,77.7,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0041,Neha Kumar,CSE,3,Male,7.85,S2,79.6,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0042,Sreeram Thomas,EEE,4,Male,6.9,S2,78.0,,Not Placed,0.0,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0043,Midhun Varma,CE,3,Female,7.08,S2,78.3,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0044,Neha Joseph,EEE,4,Male,7.19,S4,92.0,Deloitte,Placed,6.72,Electrical and Electronics Engineering,Dr. Rajesh Kumar
S0045,Sneha Joseph,CE,2,Female,7.29,S3,78.5,,Not Applicable,,Civil Engineering,Dr. Anil Joseph
S0046,Vishnu Joseph,CSE,1,Male,7.37,S2,74.1,,Not Applicable,,Computer Science and Engineering,Dr. Suresh Nair
S0047,Diya Kumar,ECE,3,Male,7.05,S7,79.4,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
S0048,Joel Pillai,ME,4,Male,8.3,S2,85.9,,Not Placed,0.0,Mechanical Engineering,Dr. Manoj Thomas
S0049,Sneha Thomas,CSE,4,Female,8.79,S6,73.4,UST,Placed,9.01,Computer Science and Engineering,Dr. Suresh Nair
S0050,Vishnu Das,ME,2,Female,6.45,S8,71.0,,Not Applicable,,Mechanical Engineering,Dr. Manoj Thomas
S0051,Harish Nair,IT,2,Female,5.64,S1,64.6,,Not Applicable,,Information Technology,Dr. Deepa Sharma
S0052,Fathima Joseph,ECE,3,Male,8.55,S8,81.0,,Not Applicable,,Electronics and Communication Engineering,Dr. Priya Menon
